url,Perfume,Brand,Country,Gender,Rating Value,Rating Count,Year,Top,Middle,Base,Perfumer1,Perfumer2,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
https://www.fragrantica.com/perfume/ralph-lauren/polo-red-pride-edition-62728.html,polo-red-pride-edition,ralph-lauren,USA,men,205,107,2020.0,"cranberry, pink grapefruit, citron","clary sage, lavender, saffron","amberwood, brazilian redwood, coffee",olivier gillotin,,woody,amber,citrus,warm spicy,aromatic
https://www.fragrantica.com/perfume/ralph-lauren/ralph-pride-edition-62727.html,ralph-pride-edition,ralph-lauren,USA,women,212,50,2020.0,"tangerine, green apple, freesia","magnolia, lime (linden blossom), osmanthus","musk, white iris",alain alchenberger,,citrus,fruity,floral,sweet,green
https://www.fragrantica.com/perfume/diesel/diesel-green-feminine-special-edition-4855.html,diesel-green-feminine-special-edition,diesel,Italy,women,292,26,2003.0,"lime, ginger, cinnamon","carnation, orange blossom, jasmine, rose","cedar, sandalwood, amber, musk",arturetto landi,,warm spicy,citrus,woody,white floral,floral
https://www.fragrantica.com/perfume/diesel/d-red-by-diesel-89328.html,d-red-by-diesel,diesel,Italy,unisex,308,108,2024.0,blood grapefruit,lavender,sandalwood,unknown,,lavender,citrus,woody,aromatic,fresh spicy
https://www.fragrantica.com/perfume/prada/prada-paradoxe-virtual-flower-95006.html,prada-paradoxe-virtual-flower,prada,Italy,women,322,36,2024.0,bergamot,"jasmine, neroli","musk, ambrette",unknown,,white floral,musky,citrus,floral,powdery
https://www.fragrantica.com/perfume/yves-saint-laurent/black-opium-storm-illusion-60586.html,black-opium-storm-illusion,yves-saint-laurent,France,women,324,29,2020.0,"pink pepper, orange blossom, mandarin orange, bergamot, pear","tuberose, licorice, coffee, bitter almond, jasmine sambac","cashmirwood, white musk, vanilla, patchouli, cedar",unknown,,woody,white floral,musky,sweet,soft spicy
https://www.fragrantica.com/perfume/atelier-cologne/lemon-island-64197.html,lemon-island,atelier-cologne,USA,unisex,326,681,2020.0,lemon,indian jasmine,madagascar vanilla,unknown,,citrus,white floral,vanilla,aromatic,fresh
https://www.fragrantica.com/perfume/maison-martin-margiela/under-the-stars-83774.html,under-the-stars,maison-martin-margiela,France,unisex,329,587,2023.0,black pepper,leather,"agarwood (oud), labdanum",meabh mccurtin,,leather,oud,fresh spicy,animalic,amber
https://www.fragrantica.com/perfume/diesel/diesel-green-masculine-special-edition-4856.html,diesel-green-masculine-special-edition,diesel,Italy,men,331,29,2003.0,"green leaves, fir, orange, mandarin orange","ginger, carnation, geranium, cyclamen, orchid","cedar, sandalwood, musk",arturetto landi,,woody,warm spicy,aromatic,fresh spicy,green
https://www.fragrantica.com/perfume/lancome/la-vie-est-belle-l-extrait-de-parfum-34040.html,la-vie-est-belle-l-extrait-de-parfum,lancome,France,women,339,72,2015.0,"iris, black currant, pear","iris, orange blossom, jasmine","praline, tonka bean, vanilla, patchouli, spun sugar",anne flipo,dominique ropion,sweet,vanilla,white floral,fruity,iris
https://www.fragrantica.com/perfume/viktor-rolf/flowerbomb-bomblicious-56584.html,flowerbomb-bomblicious,viktor-rolf,Netherlands,women,34,30,2019.0,"grapefruit, mandarin orange, bergamot","rose, black currant, jasmine","cashmere wood, musk, patchouli",unknown,,citrus,woody,rose,musky,fresh spicy
https://www.fragrantica.com/perfume/maison-martin-margiela/wicked-love-46301.html,wicked-love,maison-martin-margiela,France,unisex,341,268,2017.0,"green pepper, basil, water hyacinth","rose, egyptian jasmine","white musk, vetiver, cedar",unknown,,green,aromatic,fresh spicy,rose,floral
https://www.fragrantica.com/perfume/maison-martin-margiela/on-a-date-78292.html,on-a-date,maison-martin-margiela,France,unisex,342,1561,2022.0,"blackcurrant syrup, pink pepper, bergamot","rose, geranium, davana","patchouli, moss, musk, vetiver",carlos benaim,,rose,fruity,aromatic,woody,earthy
https://www.fragrantica.com/perfume/mugler/angel-elixir-78581.html,angel-elixir,mugler,France,women,342,1666,2023.0,pink pepper,"jasmine, ylang-ylang, sandalwood, orange blossom","bourbon vanilla, amber xtreme",anne flipo,domitille michalon bertier,white floral,woody,vanilla,sweet,yellow floral
